fcid	name	type	area_ha	imputed	area_source
CCB_1598	Reducing carbon emissions from deforestation in the Ulu Masen Ecosystem	Reduced Emissions from Deforestation and Degradation	750000	0	area from web narative paragraph; not provided in usual location & no docs available
CCB_1599	Kikonda Forest Reserve Reforestation Project	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1600	The Monte Pascoal-Pau Brasil Ecological Corridor	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1601	Avoided Deforestation Through the Payment of Environmental Services in Rainforests Located on Private Lands in the Conservation Area of the Central Volcanic Mountain Range of Costa Rica	Reduced Emissions from Deforestation and Degradation	183256.363	1	no area provided on web and no documents available online
CCB_1602	The Community Ecosystem Restoration Project	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1603	"Afforestation and reforestation on degraded lands in northwest Sichuan, China"	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1604	Avoided Deforestation in the Coffee Forest in El Salvador	Reduced Emissions from Deforestation and Degradation	183256.363	1	no area provided on web and no documents available online
CCB_738	"Carbon Project in the Emas-Taquari Biodiversity Corridor, Goiás and Mato Grosso do Sul, Brazil"	"Afforestation, Reforestation and Revegetation"	520	0	website
CCB_796	Alto Huayabamba	"Afforestation, Reforestation and Revegetation"	2300	0	website
CCB_812	Bull Run Overseas Forest Carbon Project	Reduced Emissions from Deforestation and Degradation	567	0	website
CCB_838	Tensas River Basin Project	"Afforestation, Reforestation and Revegetation"	212	0	website
CCB_904	"Reduced Emissions from Deforestation and Degradation in Community Forests – Oddar Meanchey, Cambodia"	Reduced Emissions from Deforestation and Degradation	63831	0	website
CCB_607	Darkwoods Forest Carbon Project	Improved Forest Management	54835	0	website
CCB_856	The Chocó-Darién Conservation Corridor REDD Project	Reduced Emissions from Deforestation and Degradation	13465	0	website
CCB_1343	Kuzuko Lodge Private Game Reserve thicket restoration project	"Afforestation, Reforestation and Revegetation"	16000	0	website
CCB_1285	New Leaf Carbon Project	Improved Forest Management	12143	0	website
CCB_1113	The Valparaiso Project	Reduced Emissions from Deforestation and Degradation	28096	0	website
CCB_1118	Suruí Forest Carbon Project	Reduced Emissions from Deforestation and Degradation	31994	0	website
CCB_1085	EcoPlanet Bamboo Central America - Reforestation Project	"Afforestation, Reforestation and Revegetation"	3199	0	website
CCB_1593	Ducks Unlimited Avoided Grassland Conversion Project in the Prairie Pothole Region	Reduced Emissions from Deforestation and Degradation	10643	0	area from acres listed in web narative paragraph; not provided in usual location & no docs available; paragraph states that it is avoided conversion of a grassland
CCB_1594	Restoring a Legacy at Red River National Wildlife Refuge	"Afforestation, Reforestation and Revegetation"	1173	0	website
CCB_1595	Restoring a Forest Legacy at Marais des Cygnes National Wildlife Refuge	"Afforestation, Reforestation and Revegetation"	585	0	area converted to hectares from acres
CCB_1590	Small-scale Reforestation for Landscape Restoration	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1591	Panama Native Species Reforestation	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1592	"Return to Forest, Nicaragua"	"Afforestation, Reforestation and Revegetation"	19501.84028	1	no area provided on web and no documents available online
CCB_1112	The Russas Project	Reduced Emissions from Deforestation and Degradation	41976	0	website
CCB_514	Promoting Sustainable Development through Natural Rubber Tree Plantations in Guatemala	"Afforestation, Reforestation and Revegetation"	1433	0	website
CCB_962	Forteko afforestation on degraded grasslands under extensive grazing	"Afforestation, Reforestation and Revegetation"	16181	0	website
CCB_1168	"Kulera Landscape REDD+ Program for Co-Managed Protected Areas, Malawi"	Reduced Emissions from Deforestation and Degradation	169136	0	website
CCB_562	The Kasigau Corridor REDD Project – Phase I Rukinga Sanctuary	Reduced Emissions from Deforestation and Degradation	30169	0	website
CCB_1395	Bajo Calima y Bahía Málaga (BCBM) REDD+ Project	Reduced Emissions from Deforestation and Degradation	83452	0	website
CCB_958	BIOCORREDOR MARTIN SAGRADO REDD+ PROJECT	Reduced Emissions from Deforestation and Degradation	303699	0	website
CCB_1571	Manoa REDD+ Project	Reduced Emissions from Deforestation and Degradation	74039	0	"website lists 3 numbers, 2 of which are close (~73-74k ha) and one that is off by a decimal place (730k; likely an error)."
CCB_977	RMDLT Portel - Para REDD Project	Reduced Emissions from Deforestation and Degradation	151105	0	website
CCB_1218	"Evio Kuiñaji Ese´Eja Cuana, To Mitigate Climate Change, Madre de Dios - Perú"	Reduced Emissions from Deforestation and Degradation	7749	0	website
CCB_1122	April Salumei REDD Project	Reduced Emissions from Deforestation and Degradation	196703	0	website
CCB_576	"Restoration of degraded areas and reforestation in Cáceres and Cravo Norte, Colombia"	"Afforestation, Reforestation and Revegetation"	1200	0	website
CCB_1566	REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM)	Reduced Emissions from Deforestation and Degradation	1856836	0	website
CCB_934	The Mai Ndombe REDD+ Project	Reduced Emissions from Deforestation and Degradation	299640	0	website
CCB_1390	Carmen del Darién (CDD) REDD+ Project	Reduced Emissions from Deforestation and Degradation	118318	0	website
CCB_142	"Reforestation of degraded grasslands in Uchindile & Mapanda, Tanzania"	"Afforestation, Reforestation and Revegetation"	219	0	website
CCB_1396	Rio Pepe y ACABA REDD+ Project	Reduced Emissions from Deforestation and Degradation	48177	0	website
CCB_1408	Chyulu Hills REDD+ Project	Reduced Emissions from Deforestation and Degradation	410534	0	website
CCB_1400	Concosta REDD+ Project	Reduced Emissions from Deforestation and Degradation	52212	0	website
CCB_1391	SIVIRÚ-USARAGÁ-PIZARRO-PILIZÁ (SUPP) REDD+ Project	Reduced Emissions from Deforestation and Degradation	47667	0	website
CCB_1389	Acapa -­ Bajo Mira Y Frontera REDD+ Project	Reduced Emissions from Deforestation and Degradation	58212	0	website
CCB_1392	Cajambre REDD+ Project	Reduced Emissions from Deforestation and Degradation	60316	0	website
CCB_1399	Mutatá REDD+ Project	Reduced Emissions from Deforestation and Degradation	34288	0	website
CCB_868	"REDD project in Brazil nut concessions in Madre de Dios, Peru"	Reduced Emissions from Deforestation and Degradation	724601	0	website
CCB_844	Madre de Dios Amazon REDD+ Project	Reduced Emissions from Deforestation and Degradation	96906	0	website
CCB_1047	"Carbon Emissions Reduction Project in the Forest Corridor Ambositra-Vondrozo (COFAV), Madagascar"	Reduced Emissions from Deforestation and Degradation	135212	0	website
CCB_1340	Bale Mountains Eco-region REDD+ project	Reduced Emissions from Deforestation and Degradation	398532	0	website
CCB_1543	Bosques del Uruguay Afforestation through High Quality Timber in Grasslands Project	"Afforestation, Reforestation and Revegetation"	2919	0	website
CCB_1541	Lacandon – Forest for life REDD+ Project	Reduced Emissions from Deforestation and Degradation	45289	0	website
CCB_1538	ECO2 Rubber Forests Guatemala	"Afforestation, Reforestation and Revegetation"	10000	0	website
CCB_1384	Reduced Emissions from Avoided Deforestation in the Multiple Use Zone of the Maya Biosphere Reserve in Guatemala (GuateCarbon)	Reduced Emissions from Deforestation and Degradation	463239	0	website
CCB_1326	Laguna Seca Forest Carbon Project	Reduced Emissions from Deforestation and Degradation	8169	0	website
CCB_1530	Grouped Project for Commercial Forest Plantations Initiatives in the Department of Vichada	"Afforestation, Reforestation and Revegetation"	8700	0	website
CCB_1115	JARI/AMAPÁ REDD+ PROJECT	Reduced Emissions from Deforestation and Degradation	65982	0	website
CCB_996	"TIST Program in Kenya, VCS 009"	"Afforestation, Reforestation and Revegetation"	2724	0	website
CCB_594	"TIST Program in Kenya, VCS 001"	"Afforestation, Reforestation and Revegetation"	353	0	website
CCB_595	"TIST Program in Kenya, VCS 002"	"Afforestation, Reforestation and Revegetation"	398	0	website
CCB_596	"TIST Program in Kenya, VCS 003"	"Afforestation, Reforestation and Revegetation"	421	0	website
CCB_597	"TIST Program in Kenya, VCS 004"	"Afforestation, Reforestation and Revegetation"	391	0	website
CCB_1325	Mjumita Community Forest Project (Lindi)	Reduced Emissions from Deforestation and Degradation	42194	0	website
CCB_1215	The Makira Forest Protected Area in Madagascar	Reduced Emissions from Deforestation and Degradation	360060	0	website
CCB_673	Natural High Forest Rehabilitation Project on degraded land of Kibale National Park	"Afforestation, Reforestation and Revegetation"	8593	0	website
CCB_1175	"AVOIDING PLANNED DEFORESTATION AND DEGRADATION IN THE VALDIVIAN COASTAL RESERVE, CHILE"	Reduced Emissions from Deforestation and Degradation	50251	0	website
CCB_612	The Kasigau Corridor REDD Project - Phase II The Community Ranches	Reduced Emissions from Deforestation and Degradation	169741	0	website
CCB_1403	"The Paraguay Forest Conservation Project – Reduction of GHG Emissions from Deforestation and Forest Degradation in the Parana Atlantic Ecosystem – Forest Protection in the La Amistad Community, San Rafael"	Reduced Emissions from Deforestation and Degradation	72	0	website
CCB_1503	REDD+ RESEX Rio Preto-Jacundá Project	Reduced Emissions from Deforestation and Degradation	94289	0	website
CCB_963	The Purus Project	Reduced Emissions from Deforestation and Degradation	34702	0	website
CCB_1201	Gola REDD project	Reduced Emissions from Deforestation and Degradation	68340	0	website
CCB_981	Pacajai REDD+ Project	Reduced Emissions from Deforestation and Degradation	135106	0	website
CCB_953	The Paraguay Forest Conservation Project - Reduction of GHG emissions from deforestation and forest degradation in the Chaco-Pantanal ecosystem	Reduced Emissions from Deforestation and Degradation	4745	0	website
CCB_818	Protection of the Bolivian Amazon Forest	Reduced Emissions from Deforestation and Degradation	235	0	website
CCB_674	Rimba Raya Biodiversity Reserve Project	Reduced Emissions from Deforestation and Degradation	64977	0	website
CCB_985	Cordillera Azul National Park REDD Project	Reduced Emissions from Deforestation and Degradation	1353190	0	website
CCB_902	KARIBA REDD+ PROJECT	Reduced Emissions from Deforestation and Degradation	747801	0	website
CCB_944	Alto Mayo Conservation Initiative	Reduced Emissions from Deforestation and Degradation	182000	0	website
CCB_959	‘Guanaré’ Forest Plantations on degraded grasslands under extensive grazing	"Afforestation, Reforestation and Revegetation"	21298	0	website
CCB_1455	Reduction of the deforestation and degradation of tropical dry forests in Piura and Lambayeque	Reduced Emissions from Deforestation and Degradation	38355	0	website
CCB_1381	HIMA (Hifadhi ya Misitu ya Asili ya jamii) REDD+ Program	Reduced Emissions from Deforestation and Degradation	82754	0	website
CCB_1360	Forest Management to reduce deforestation and degradation in Shipibo Conibo and Cacataibo Indigenous communities of Ucayali region	Reduced Emissions from Deforestation and Degradation	127004	0	website
CCB_1202	LOWER ZAMBEZI REDD+ PROJECT	Reduced Emissions from Deforestation and Degradation	40126	0	website
CCB_1317	Reforestation Grouped Project at Pratigi Environmental Protection Area	"Afforestation, Reforestation and Revegetation"	170900	0	website
CCB_1382	"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil"	Reduced Emissions from Deforestation and Degradation	39301	0	website
CCB_1329	Maísa REDD+ Project	Reduced Emissions from Deforestation and Degradation	28752	0	website
CCB_1351	Planting for the Future: Financially sustainable agroforestry systems and payments for ecosystem services	"Afforestation, Reforestation and Revegetation"	25	0	website
CCB_1067	Reduction of deforestation and degradation in Tambopata National Reserve and Bahuaja-Sonene National Park within the area of Madre de Dios region –Peru	Reduced Emissions from Deforestation and Degradation	573299	0	website
CCB_647	Boden Creek Ecological Preserve Forest Carbon Project	Reduced Emissions from Deforestation and Degradation	3980	0	website
CCB_1429	Recovery of degraded areas with agroforestry systems in Colombia	"Afforestation, Reforestation and Revegetation"	219	0	website
SDV_4511	Silvador Climate Action	Agriculture Forestry and Other Land Use	1538	0	website
SDV_3018	BigCoast Forest Climate Initiative	Agriculture Forestry and Other Land Use	44022	0	website
VCS_4993	Águas da Mata Atlântica	ARR	5000	0	NA
VCS_4987	COMACO South Landscape Management Project	ALM; REDD	369535	0	NA
VCS_4966	Yambone REDD+ Project	REDD	665524	0	NA
VCS_4919	Peruvian Amazon Conservation Project	IFM	291590	0	NA
VCS_4912	ARBRE	ARR	1000	0	NA
VCS_4913	Restoration of degraded lands through the plantation of forest and fruit trees and distribution of improved stoves in Northern Cameroon	ARR	25000	0	NA
VCS_4905	REDD Pantanal	REDD	40408	0	NA
VCS_4898	OYU - Reforesting Kenya for a better tomorrow	ARR	10000	0	NA
VCS_4900	OYU - Tenera Plantations by BIDCO	ARR	5000	0	NA
VCS_4895	Ishinomaki Improved Forest Management Project	IFM	3919	0	NA
VCS_4892	"Trees For Livelihoods: Agroforestry In Sonbhadra, Uttar Pradesh, India"	ARR	5000	0	NA
VCS_4888	OYU - Reforesting Uganda for a better tomorrow	ARR	10000	0	NA
VCS_4890	Regenerative Development of Anlo Wetlands Project	ARR; WRC	1689	0	NA
VCS_4882	Uganda Native Reforestation and Agroforestry Project	ARR	10000	0	"the web sidebar says 1 hectare, but the narrative says: ""The objective … is to reforest an area of around 10,000 hectares…""; used projected area to match how this is reported elsewhere (e.g., project 4674)"
VCS_4883	Agroforestry Project of Cameroon	ARR	10000	0	"the web sidebar says 1 hectare, but the narrative says: ""The objective ... is to reforest an area of around 10,000 hectares…""; used projected area to match how this is reported elsewhere (e.g., project 4674)"
VCS_4884	Forest Landscape Restoration in Panama	ARR	25000	0	"the web sidebar says 1 hectare, but the narrative says: ""The objective ... is to reforest an area of around 25,000 hectares…""; used projected area to match how this is reported elsewhere (e.g., project 4674)"
VCS_4876	NAMI REDD+ PROJECT	REDD	83051	0	NA
VCS_4866	Asha	ARR	2000	0	NA
VCS_4856	ALA HONKO BLUE CARBON MADAGASCAR	ARR; WRC	687	0	NA
VCS_4847	Timor-Leste Mangrove Restoration Project	ARR	566	0	NA
VCS_4843	Shanxi Danfeng IFM Project	IFM	10901	0	NA
VCS_4845	CAMERR Carbon Mangrove Ecosystem Restoration & Resilience	ARR	2000	0	NA
VCS_4840	‘Qarlbo’ Afforestation Through High-Quality Timber Over Degraded Grasslands	ARR	510	0	NA
VCS_4838	Ruvuma Wilderness Project	REDD	733000	0	NA
VCS_4833	EKEN IFM SWEDEN NORTH #1	IFM	50000	0	NA
VCS_4825	EVERGREEN II REDD+ PROJECT	REDD	36990	0	NA
VCS_4820	Land Life Reforestation and Restoration of Degraded Land in Colorado	ARR	581	0	area was provided in hectares (US is usually in acres)
VCS_4821	Land Life Reforestation and Restoration of Degraded Land in Portugal	ARR	365	0	NA
VCS_4822	Land Life Reforestation and Restoration of Degraded Land in Australia - A	ARR	718	0	NA
VCS_4814	Marudi Forest Conservation and Restoration Project	ARR; REDD; WRC	39167	0	NA
VCS_4815	URSTAMM GROUPED PROJECT IFM SWITZERLAND & PILOT PROJECT KELLERAMT	IFM	264	0	NA
VCS_4801	Agroforestry Initiative through carbon finance to strengthen rural livelihoods and ecosystems in India	ARR	10000	0	NA
VCS_4800	National Shale Oil Low-Carbon Intelligent Demonstration Base Carbon Sink Afforestation Project	ARR	497	0	NA
VCS_4798	"BAULU PROJECT, DEMOCRATIC REPUBLIC OF CONGO"	IFM	116181	0	NA
VCS_4782	South Barito Kapuas Project	REDD; WRC	39835	0	NA
VCS_4772	HORTICULTURE PLANTATION IN CENTRAL INDIA	ARR	1000	0	NA
VCS_4763	Mixed afforestation with native and non-native species in Argentina-I	ARR	988	0	NA
VCS_4744	Panambi REDD+ Project: Forest Conservation in the Paraguayan Chaco	REDD	140000	0	NA
VCS_4747	Pantanal REDD+ Program	REDD	23269	0	NA
VCS_4749	TAJIMAT PUJUT - El buen vivir - Restauración y conservación de los bosques Awajún del Alto Mayo	ARR; REDD	235455	0	NA
VCS_4750	WANAMEI (Árbol de vida) Conservando los bosques de Amarakaeri	REDD	599286	0	NA
VCS_4739	Land Life Reforestation and Restoration of Degraded Land in Spain - B	ARR	285	0	NA
VCS_4741	Land Life Reforestation and Restoration of Degraded Land in Spain - A	ARR	186	0	NA
VCS_4743	Yvoty REDD+ Project: Forest Conservation in Eastern Paraguay	REDD	64400	0	NA
VCS_4729	Reforestation activities in Brazil for carbon removals from the atmosphere	ARR	1311	0	NA
VCS_4727	Rabo Carbon Bank Trees for Farmers (TFF) Brazil ARR Grouped Project	ARR	2000	0	NA
VCS_4718	Hainan Baisha Improved Forest Management Project	IFM	2337	0	NA
VCS_4720	Reforestation of Lands for Multiple Purposes as a Sustainable Development Driver	ARR	31	0	NA
VCS_4712	Permaculture initiative through community participation	ARR	9400	0	NA
VCS_4713	Enhancing rural livelihoods of farmers through carbon finance	ARR	13650	0	NA
VCS_4709	Strengthening rural livelihood through carbon finance: Agroforestry practices in Gorakhpur Forest Circle of Uttar Pradesh	ARR	874405	0	NA
VCS_4708	Tasar Forest Carbon Project	ARR	2000	0	NA
VCS_4698	Hive Ecosystems project	ARR	7307	0	NA
VCS_4699	Baviaanskloof Carbon Project	ARR	993	0	NA
VCS_4676	Knollwood Improved Forest Management Project	IFM	1544	0	area in web sidebar was provided in acres (3816 ac)
VCS_4674	Selva Norte Conservation Project (CSN+)	REDD	200000	0	NA
VCS_4660	Legacy Forest Climate Initiative	IFM	21600	0	NA
VCS_4656	Guangdong Foshan Improved Forest Management Project	IFM	195	0	NA
VCS_4658	Lavardin Improved Forest Management through the Extension of Rotation Age	IFM	12679	0	NA
VCS_4652	The New Zealand Transitional Afforestation Project	ARR	50	0	NA
VCS_4651	The New Zealand Indigenous Forest Regeneration Project	IFM	350	0	NA
VCS_4633	Fortaleza Ituxi II REDD+	REDD	69185	0	NA
VCS_4630	AGROFORESTRY PLANTATIONS TO ENHANCE THE LIVELIHOOD OF RURAL COMMUNITIES IN INDIA	ARR	800	0	NA
VCS_4626	Regeneration Meghalaya	ARR	30000	0	NA
VCS_4627	"Trees for Livelihood in Madhya Pradesh, India"	ARR	197490	0	NA
VCS_4617	"Kwango River Project, Democratic Republic of Congo"	ARR	25699	0	NA
VCS_4609	Hainan Jinhua IFM(Coversion of logged to protected forest)  Project	IFM	4863	0	NA
VCS_4607	KOSHER BLUE CARBON -1	ARR	3000	0	NA
VCS_4598	Enhancing Livelihoods of Farmers in Gujarat through Agroforestry Plantations by SHBVM	ARR	1977	0	NA
VCS_4592	Symbiosis Continuous Cover Forest Project	ARR	236	0	NA
VCS_4577	GROUPED ARR PROJECT IN TELANGANA	ARR	1100	0	NA
VCS_4557	Strengthening rural livelihood through carbon finance: Agroforestry practices in Bareilly Forest Circle of Uttar Pradesh	ARR	3481	0	NA
VCS_4551	Hubei Badong IFM PROJECT	IFM	5945	0	NA
VCS_4552	UÁKIRY REDD+ AUDD  GROUPED PROJECT	REDD	84220	0	NA
VCS_4543	Leconi Agroforestry Project in Haut-Ogooue (LAPHO)	ARR	83546	0	NA
VCS_4539	Community-Based Mangrove Conservation and Restoration in Sierra Leone	ARR; REDD; WRC	74034	0	NA
VCS_4540	THE NAGALAND 4 CHANGE REDD+ PROJECT	REDD	6000	0	NA
VCS_4541	SUNDARI MANGROVE RESTORATION PROJECT IN THE INDIAN SUNDARBANS	ARR; WRC	4343	0	NA
VCS_4528	Sichuan Lizhou Improved Forest Management Project	IFM	3687	0	NA
VCS_4529	Shaanxi Fengxian Improved Forest Management Project	IFM	3037	0	NA
VCS_4520	Muara Teweh Conservation Project	IFM	255700	0	NA
VCS_4513	Argentina Gran Chaco Region REDD+ Project	REDD	4838	0	area taken from PDD as area listed on web (64623386) was far too large (more than entire ag area in chaco per PDD)
VCS_4509	Brazil Pastureland Regeneration with Native Palm Silvopasture	ARR	4000	0	NA
VCS_4495	"Working Trees supporting eastern US Silvopasture, Project 1"	ARR	200	0	NA
VCS_4488	Agroforestry For Livelihoods	ARR	15000	0	NA
VCS_4489	RIWNE OBLAST FOREST PRESERVATION PROJECT (Conversion of logged to protected forest)	IFM	13374	0	NA
VCS_4481	Restore Africa: Restoring trees and livelihoods in Kenya	ARR	32500	0	NA
VCS_4473	Karidja forest restoration project	ARR	70000	0	NA
VCS_4475	Kijani Forestry smallholder farmer forestry project	ARR	602000	0	NA
VCS_4476	Grouped Project Sul da Bahia	ARR	10000	0	NA
VCS_4463	Land Life Reforestation and Restoration on Degraded Land in Australia	ARR	707	0	NA
VCS_4456	CREATING LIVELIHOOD  OPPORTUNITIES  AND CARBON CREDIT INCOME FOR  SMALLHOLDER FARMERS  THROUGH  HORTICULTURAL PLANTATIONS IN  BANGLADESH	ARR	5000	0	NA
VCS_4459	Developing Climate Resilience Of The Residential Society In Hyderabad Through Miyawaki Afforestation: Urban Forest Development	ARR	18	0	NA
VCS_4461	REDD+ Tauari Forest Conservation Project	REDD	126158	0	"area taken from the website narative, which was similar to the value in the Project Description document (149000); value in sidebar differed and was extremely large (149328000 Hectares), so likely not correct"
VCS_4450	ORDOS CITY AFFORESTATION PROJECT IN INNER MONGOLIA AUTONOMOUS REGION	ARR	944	0	NA
VCS_4448	Raízes do Bem Grouped ARR Project	ARR	135	0	NA
VCS_4436	RESTORATION OF DEGRADED LAND TO ENHANCE TREE COVER AND IMPROVE LIVELIHOODS OF FARMERS IN INDIA	ARR	181	0	NA
VCS_4430	Reflorestamento de Impacto no Brasil Project	ARR	44	0	NA
VCS_4424	Sichuan Muli County REDD Project	REDD	25873	0	"website lists it also as a CCB project, but doesn't seem to be in the CCB database"
VCS_4422	Inner Mongolia Kuduer Improved Forest Management Project.	IFM	17169	0	NA
VCS_4419	Project MATANI REDD+ DIOS MAYOR DE LOS PUEBLOS CABILLARI CONSERVACION ANCESTRAL	REDD	812491	0	NA
VCS_4377	Guangdong Huaiji County IFM (conversion of logged to protected forest) Project	IFM	14008	0	NA
VCS_4372	DR Congo Mangrove Blue Carbon Project	ARR; REDD; WRC	23684	0	CCB project but apparently not in CCB database
VCS_4333	Chongqing Kaizhou Afforestation Project	ARR	3407	0	NA
VCS_4324	ARJUNA Project	ARR	3000	0	NA
VCS_4319	CSA Carbon	ARR	4000	0	NA
VCS_4301	KSM Forest Carbon Project.	IFM	5540	0	NA
VCS_4286	Motor Verde+Floresta Forestry Carbon Project. Portugal Central Region I	ARR	57	0	NA
VCS_4268	Family Forest Carbon Project	IFM	31	0	original units for area in sidebar was acres (77 ac)
VCS_4255	Rewilding Maforki	ARR	25000	0	NA
VCS_4243	"Afforestation project with native and exotic species on degraded grasslands in Northeast, Argentina."	ARR	2331	0	area from the Project Description document; value on sidebar was much different and unrealistically large (2602000 hectares)
VCS_4222	SMG - Bamboo Plantations for a better tomorrow	ARR	10000	0	NA
VCS_4183	Hunan Shimen IFM (conversion of logged to protected forest) Project	IFM	6476	0	NA
VCS_4176	Greenzone Reforestation Project	ARR	3	0	NA
VCS_4153	"Sustainable coffee landscapes in indigenous rural communities of Oaxaca, Mexico"	ARR	6493	0	NA
VCS_4155	Bamboo Afforestation in Malawi	ARR	3584	0	NA
VCS_4148	Strengthening rural livelihood through carbon finance: Agroforestry practices in Lucknow Forest Circle of Uttar Pradesh	ARR	2858	0	NA
VCS_4137	Productive Second Floor with Macaúba	ARR	573	0	NA
VCS_4141	Itamarati Grouped REDD Project	REDD	22753	0	NA
VCS_4142	Serenity Valley REDD Project	REDD	52645	0	"area from web sidebar and project description, which matched; value in web narative differed but referred to the estimated area saved from deforestation (19220 hectares)"
VCS_4120	Qinghai Haixi Ulan Afforestation Project	ARR	7045	0	NA
VCS_4123	1MTN Uganda Bamboo Planting Project	ARR	10000	0	NA
VCS_4126	Community Restoration of Native Ecosystems in Ghana	ARR	50000	0	"web sidebar says 5 ha; web narative says ""This grouped project is targeting a scale of up to 50,000 hectares."""
VCS_4094	Curuá Grouped REDD+ Project	REDD	9550	0	NA
VCS_4095	Rio Manito Grouped REDD Project	REDD	13616	0	NA
VCS_4082	Canindé Grouped REDD+ Project	REDD	5301	0	NA
VCS_4090	Goldbeck Forest Carbon Project	IFM	4140	0	NA
VCS_4072	Fazenda Boa Vista afforestation project	ARR	293	0	NA
VCS_4073	Inner Mongolia Genhe Improved Forest Management Project	IFM	36886	0	NA
VCS_4074	Citizen:Forest Carbon Project	IFM	1950	0	NA
VCS_4076	Miramichi Timber Forest Carbon Project	IFM	2540	0	NA
VCS_4077	Deeg Forest Carbon Project	IFM	1037	0	NA
VCS_4078	Acadian Forest Carbon Project	IFM	3172	0	NA
VCS_4079	Lamaja Forest Carbon Project	IFM	2191	0	NA
VCS_4068	Amazon Bluecarbon Grouped REDD Project	REDD	3242	0	NA
VCS_4069	Mamuriá Grouped REDD Project	REDD	64564	0	NA
VCS_4052	MITIGATING CLIMATE CHANGE AND ENHANCING RURAL LIVELIHOODS THROUGH PLANTATIONS RAISED TO PROVIDE RAW MATERIAL TO THE PAPER INDUSTRY	ALM; ARR; IFM	13500	0	NA
VCS_4047	CLIMATE SUSTAINABILITY THROUGH HORTICULTURE PROJECT IN INDIA	ARR	303	0	NA
VCS_4043	ENHANCING LIVELIHOOD OF TRIBAL COMMUNITIES THROUGH AGROFORESTRY IN SOUTH INDIA	ARR	12500	0	NA
VCS_4046	IMPROVING LIVELIHOOD OF FARMERS  VIA CARBON FINANCE PROJECT IN  NEPAL	ARR	7000	0	NA
VCS_4031	Agroforestry Plantation of ITC Limited In Selected Regions of North India	ARR	6421	0	NA
VCS_4025	"Strengthening rural livelihoods of smallholder farmers in tribal districts of Odisha,India"	ARR	4000	0	NA
VCS_4008	Terraligna Afforestation Over Degraded Grasslands	ARR	4282	0	NA
VCS_4004	The Native Ecosystem Restoration in Nicaragua Project	ARR	11	0	NA
VCS_3999	Zambia Agroforestry Grouped Project	ARR	72000	0	NA
VCS_3996	Family Forest Carbon Program - Central Appalachia	IFM	14339	0	NA
VCS_3990	Inner Mongolia Yitulihe-Genhe Afforestation Project	ARR	2067	0	NA
VCS_3970	Carbon In Flavor and Arome Forests (C-BOSAR)	ARR	3858	0	NA
VCS_3967	"VALLE LAGUNARE - VAL DOGA', CAPOSILE - VENICE CARBON CREDIT ASSESSMENT IN CONTROLLED LAGOON ENVIRONMENT"	ARR	1734	0	NA
VCS_3961	Inner Mongolia Alihe-Jiwen Afforestation Project	ARR	1660	0	NA
VCS_3921	Fujian Wuping Improved Forest Management Project	IFM	62694	0	NA
VCS_3892	RESTORATION OF HOMESTEAD LAND OF POOR RURAL COMMUNITIES IN ASSAM & MEGHALAYA	ALM; ARR	9000	0	NA
VCS_3868	Fangchenggang Mangrove afforestation project	ARR	224	0	NA
VCS_3875	FUTURE GREEN CARBON PROJECT	ARR	32226	0	NA
VCS_3877	Reforestation of land for multiple uses	ARR	4324	0	NA
VCS_3818	Blue Carbon Mitigation through Community Based Mangrove Restoration	ARR; WRC	3700	0	NA
VCS_3815	BOUTILI AFFORESTATION & AGROFORESTRY PROJECT	ARR	2000	0	NA
VCS_3813	MOTOR VERDE FORESTRY CARBON PROJECT - GRANDAS DE SALIME (SPAIN)	ARR	87	0	NA
VCS_3814	Chestnut Carbon Conservation Project	IFM	649	0	area in web sidebar was provided in acres (1603)
VCS_3812	Painted Forest Carbon Project	IFM	147882	0	NA
VCS_3790	Sichuan Nanjiang Improved Forest Management Project	IFM	8286	0	NA
VCS_3787	SCALA LAOS AGROFORESTRY PROJECT 2	ARR	4713	0	NA
VCS_3786	Silvopastoral carbon project of Uruguay	ARR	944	0	NA
VCS_3772	RE.GREEN AMAZON FOREST REFORESTATION/RESTORATION PROJECT	ARR	181500	0	NA
VCS_3743	RE.GREEN ATLANTIC FOREST REFORESTATION/RESTORATION PROJECT	ARR	88400	0	NA
VCS_3734	BOSQUES CAUTIN S.A. FOREST CARBON PROJECT CONVERSION OF LOGGED TO PROTECTED FOREST PROJECT	IFM	5990	0	NA
VCS_3730	Climate Action in Myanmar through a community-based Mangrove Restoration	ARR; WRC	1500	0	NA
VCS_3711	DRC REDD+ Carbon Credit Harvesting Project	REDD	1346360	0	NA
VCS_3698	Strengthening rural livelihood through carbon finance : Agroforestry practices in Meerut Forest circle of Uttar Pradesh	ARR	2807	0	NA
VCS_3677	Ecobase Europe Afforestation Project	ARR	500000	0	NA
