paperid	authors	year	title	journal	vol	num	pages	article_num	doi	region	country_area	trop_sub	hab_gen	substrate	substrate2	mammals	birds	reptiles	amphibians	fish	invertebrates	plants	fungi	protists	prokaryotes	impact	method	markers	numregions	numsamp	numsamp_notes	summary	lat_approx	lon_approx	geo_notes	data_share	raw_data_archive	procdata_archive
eDNA67	W. Chen; G. Wilkes; I. U. H. Khan; K. D. M. Pintar; J. L. Thomas; C. A. Levesque; J. T. Chapados; E. Topp; D. R. Lapen	2018	Aquatic Bacterial Communities Associated With Land Use and Environmental Factors in Agricultura Landscapes Using a Metabarcoding Approach	Frontiers in Microbiology	9		23	2301	10.3389/fmicb.2018.02301	North America	Canada	0	freshwater	water		0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	16S	1	96		impact of land use on aquatic bacterial assemblages	45.251508	-75.57043		1	NCBI	N
eDNA69	C. Chimeno; J. Hubner; L. Seifert; J. Moriniere; V. Bozicevic; A. Hausmann; S. Schmidt; J. Muller	2023	Depicting environmental gradients from Malaise trap samples: Is ethanol-based DNA metabarcoding enough?	Insect Conservation and Diversity	16	1	47-64		10.1111/icad.12609	Europe	Germany	0	other terrestrial	whole organism		0	0	0	0	0	1	0	0	0	0	habitat structure	DNA metabarcoding	COI	1	87	"87 malaise trap samples, but each trap sample split into 2 (bulk arthropod sample and corresponding ethanol sample), so they ran 174 samples"	impact of habitat type on soil arthropod assemblages	48.958624	13.433036		1	Figshare	Figshare
eDNA70	T. Chonova; R. Kurmayer; F. Rimet; J. Labanowski; V. Vasselon; F. Keck; P. Illmer; A. Bouchez	2019	Benthic Diatom Communities in an Alpine River Impacted by Waste Water Treatment Effluents as Revealed Using DNA Metabarcoding	Frontiers in Microbiology	10		17	653	10.3389/fmicb.2019.00653	Europe	Switzerland	0	freshwater	water		0	0	0	0	0	0	0	0	1	0	pollution	DNA metabarcoding	rbcL (plastid)	1	24		studied effluent effects on stream diatom communities	46.195305	6.142774		0	N	N
eDNA71	A. Chronakova; J. Ascher; J. Jirout; M. T. Ceccherini; D. Elhottova; G. Pietramellara; M. Simek	2013	"Cattle impact on composition of archaeal, bacterial, and fungal communities by comparative fingerprinting of total and extracellular DNA"	Biology and Fertility of Soils	49	3	351-361		10.1007/s00374-012-0726-x	Europe	Czech Republic	0	grassland	sediment		0	0	0	0	0	0	0	1	0	1	pollution	DNA quantity	16S; 18S	2	NA		cattle impact on prokayrotic and fungal communities	48.866667	14.216667		0	N	N
eDNA72	D. E. Clark; C. A. Pilditch; J. K. Pearman; J. I. Ellis; A. Zaiko	2020	Environmental DNA metabarcoding reveals estuarine benthic community response to nutrient enrichment - Evidence from an in-situ experiment	Environmental Pollution	267		12	115472	10.1016/j.envpol.2020.115472	Oceania	New Zealand	0	marine	sediment		0	0	0	0	0	0	0	0	1	1	nutrients	DNA metabarcoding	18S; 16S; rbcL	3	90	"90 eDNA samples, additional samples for other analyses"	"nutrient addition impact on benthic diatom, eukaryotic microbes, (minus mammals and fish), and bacterial communities. A manipulative experiment."	-41.311397	173.308199		1	NCBI	N
eDNA73	R. A. Coleman; Y. E. Chee; N. R. Bond; A. Weeks; J. Griffiths; M. Serena; G. A. Williams; C. J. Walsh	2022	Understanding and managing the interactive impacts of growth in urban land use and climate change on freshwater biota: A case study using the platypus (Ornithorhynchus anatinus)	Global Change Biology	28	4	1287-1300		10.1111/gcb.16015	Oceania	Australia	0	freshwater	water		1	0	0	0	0	0	0	0	0	0	pollution	qPCR (DNA)	mt control region	1	330	"collected eDNA water samples at 330 sites. ""Water samples for eDNA analysis were collected in duplicate (2017/18 samples) or triplicate (2016 samples) at each site"". Not sure if replicates count as individual samples?"	impact of land use & climate on platypus distribution	-37.63217	145.40714		1	Figshare	Figshare
eDNA74	Y. Colin; T. Berthe; N. Molbert; E. Guigon; A. L. Vivant; F. Alliot; S. Collin; A. Goutte; F. Petit	2021	Urbanization Constrains Skin Bacterial Phylogenetic Diversity in Wild Fish Populations and Correlates with the Proliferation of Aeromonads	Microbial Ecology	82	2	523-536		10.1007/s00248-020-01650-2	Europe	France	0	freshwater	organism microbiome	fish	0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	16S	1	44		impact of land use / pollution on fish skin bacterial microbiome	48.596583	2.261528		1	ENA	N
eDNA75	S. Consuegra; R. O'Rorke; D. Rodriguez-Barreto; S. Fernandez; J. Jones; C. G. de Leaniz	2021	Impacts of large and small barriers on fish assemblage composition assessed using environmental DNA metabarcoding	Science of the Total Environment	790		7	148054	10.1016/j.scitotenv.2021.148054	Europe	France	0	freshwater	water		0	0	0	0	1	0	0	0	0	0	movement barrier	DNA metabarcoding	12S	1	60	triplicate water samples at 20 sites. Does not indicate they were pooled.	impact of dams on fish communities	45.796693	3.286023		1	ENA	N
eDNA76	N. Corcoll; J. H. Yang; T. Backhaus; X. W. Zhang; K. M. Eriksson	2019	Copper Affects Composition and Functioning of Microbial Communities in Marine Biofilms at Environmentally Relevant Concentrations	Frontiers in Microbiology	9		15	3248	10.3389/fmicb.2018.03248	Europe	Sweden	0	marine	water		0	0	0	0	0	0	0	0	1	1	pollution	DNA metabarcoding	16S; 18S	2	NA	18 microcosms sampled 3x each before and after a daily water analysis for 18 days? Not entirely clear.	impact of copper on marine biofilm microorganisms	58.245373	11.433628		1	NCBI	N
eDNA77	T. Cordier; P. Esling; F. Lejzerowicz; J. Visco; A. Ouadahi; C. Martins; T. Cedhagen; J. Pawlowski	2017	Predicting the Ecological Quality Status of Marine Environments from eDNA Metabarcoding Data Using Supervised Machine Learning	Environmental Science & Technology	51	16	9118-9126		10.1021/acs.est.7b01518	Europe	Norway	0	marine	sediment		0	0	0	0	0	0	0	0	1	0	pollution	DNA metabarcoding	37F region of SSU rRNA gene	1	144		impact of salmon farms on benthic foraminifera	62.1398	5.32765	"Two clusters of sites, 5-10 long/lat degrees apart. Chose one random site to list here."	1	NCBI	N
eDNA78	T. Cordier; F. Frontalini; K. Cermakova; L. Apotheloz-Perret-Gentil; M. Treglia; E. Scantamburlo; V. Bonamin; J. Pawlowski	2019	Multi-marker eDNA metabarcoding survey to assess the environmental impact of three offshore gas platforms in the North Adriatic Sea (Italy)	Marine Environmental Research	146		24-34		10.1016/j.marenvres.2018.12.009	Europe	Italy	0	marine	water		0	0	0	0	1	1	0	1	1	1	pollution	DNA metabarcoding	nuclear 18S V1V2; 18S V4; 18S 37F; mitochondrial 16S; COI	3	576	"1/2 water samples, 1/2 sediment samples"	"impact of oil platform pollution on many marine taxa including fish, invertebrates, protists, bacteria (5 markers)"	44.553611	12.471667		1	NCBI	N
eDNA79	C. Corinaldesi; S. Varrella; M. Tangherlini; A. Dell'Anno; S. Canensi; C. Cerrano; R. Danovaro	2022	Changes in coral forest microbiomes predict the impact of marine heatwaves on habitat-forming species down to mesophotic depths	Science of the Total Environment	823		13	153701	10.1016/j.scitotenv.2022.153701	Europe	Italy	0	marine	organism microbiome	invertebrates	0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	16S	1	18	" a total of 54 coral fragments, 5 cm long (n = 3 sub-replicates for each colony), were collected from 3 coral colonies for each of the 3 species and from 2 depths"	impact of heatwaves on coral bacterial microbiome	44.299103	9.183211		1	NCBI	N
eDNA80	A. Coutts; A. O'Brien; A. R. Weeks; S. E. Swearer; A. van Rooyen; S. Branigan; R. L. Morris	2022	"An environmental DNA approach to informing restoration of the functionally extinct oyster, Ostrea angasi"	Aquatic Conservation-Marine and Freshwater Ecosystems	32	11	1732-1744		10.1002/aqc.3886	Oceania	Australia	0	marine	water		0	0	0	0	0	1	0	0	0	0	species interaction	qPCR (DNA)	COI	1	66	"roughly 66, but somewhat less than"	impact of artificial reef building efforts on establishing oysters (monitoring success of restoration efforts)	-37.996818	145.034941		0	N	N
eDNA81	S. Covino; T. Stella; A. D'Annibale; S. Llado; P. Baldrian; M. Cvancarova; T. Cajthaml; M. Petruccioli	2016	Comparative assessment of fungal augmentation treatments of a fine-textured and historically oil-contaminated soil	Science of the Total Environment	566		250-259		10.1016/j.scitotenv.2016.05.018	Europe	Italy	0	other terrestrial	sediment		0	0	0	0	0	0	0	0	0	1	species interaction	DNA metabarcoding	16S	1	6		impact of adding native fungi on soil bacterial communities and abiliaty to remove contaminated oil	37.073727	14.242119		0	N	N
eDNA82	A. R. Cupp; J. R. Smerud; J. A. Tix; J. M. Rivera; S. A. Kageyama; C. M. Merkes; R. A. Erickson; J. J. Amberg; M. P. Gaikowski	2018	Assessment of Carbon Dioxide Piscicide Treatments	North American Journal of Fisheries Management	38	6	1241-1250		10.1002/nafm.10227	North America	USA	0	freshwater	water		0	0	0	0	1	0	0	0	0	0	pollution	qPCR (DNA)	NA	NA	120		impact of CO2 addition to ponds on survival of 3 fish species	43.868131	-91.255064		0	N	N
eDNA83	G. Dal Pont; C. D. Ritter; A. O. Agostinis; P. V. Stica; A. Horodesky; N. Cozer; E. Balsanelli; O. S. M. Netto; C. Henn; A. Ostrensky; M. R. Pie	2021	Monitoring fish communities through environmental DNA metabarcoding in the fish pass system of the second largest hydropower plant in the world	Scientific Reports	11	1	13	23167	10.1038/s41598-021-02593-5	South America	Brazil	1	freshwater	water		0	0	0	0	1	0	0	0	0	0	movement barrier	DNA metabarcoding	12S	1	54		impact of dams and drought on fish communities	-25.434049	-54.581481		1	NCBI	N
eDNA84	A. Dalongeville; E. Boulanger; V. Marques; E. Charbonnel; V. Hartmann; M. C. Santoni; J. Deter; A. Valentini; P. Lenfant; P. Boissery; T. Dejean; L. Velez; F. Pichot; L. Sanchez; V. Arnal; T. Bockel; G. Delaruelle; F. Holon; T. Milhau; L. Romant; S. Manel; D. Mouillot	2022	Benchmarking eleven biodiversity indicators based on environmental DNA surveys: More diverse functional traits and evolutionary lineages inside marine reserves	Journal of Applied Ecology	59	11	2803-2813		10.1111/1365-2664.14276	Europe	Mediterranean Sea	0	marine	water		0	0	0	0	1	0	0	0	0	0	protected area	DNA metabarcoding	12S	1	99		impact of protected area status on fish diversity	43.199087	5.403532		1	N	GitHub
eDNA85	J. S. Danielsen; L. Morgado; S. Mundra; L. Nybakken; M. Davey; H. Kauserud	2021	Establishment of spruce plantations in native birch forests reduces soil fungal diversity	Fems Microbiology Ecology	97	7	9	fiab074	10.1093/femsec/fiab074	Europe	Norway	0	forest	sediment		0	0	0	0	0	0	0	1	0	0	habitat structure	DNA metabarcoding	ITS2	1	73		impact of conversion to spruce plantations on soil fungal diversity	60.793171	6.568528		1	Zenodo	Zenodo
eDNA86	M. O. De Beeck; J. Ruytinx; M. M. Smits; J. Vangronsveld; J. V. Colpaert; F. Rineau	2015	Belowground fungal communities in pioneer Scots pine stands growing on heavy metal polluted and non-polluted soils	Soil Biology & Biochemistry	86		58-66		10.1016/j.soilbio.2015.03.007	Europe	Belgium	0	forest	sediment		0	0	0	0	0	0	0	1	0	0	pollution	DNA metabarcoding	ITS2	1	100		impact of heavy metal pollution on forest fungal communities	51.236111	5.263889		1	NCBI	N
eDNA87	N. de Jonge; F. Kuntke; M. Hesselsoe; J. L. Nielsen	2021	Ecological quality in freshwater streams is reflected across all three domains of life	Ecological Indicators	130		9	108059	10.1016/j.ecolind.2021.108059	Europe	Denmark	0	freshwater	whole organism		0	0	0	0	0	1	0	0	1	1	pollution	DNA metabarcoding	16S; 18S	2	50		impact of water quality (score) on invertebrate & microbe communities	55.676378	9.056012	samples taken from 50 streams across Denmark but no locations given. Chose random central point in Denmark for lat/long.	1	ENA	N
eDNA88	T. B. de Oliveira; R. C. de Lucas; A. S. D. Scarcella; A. G. Contato; T. M. Pasin; C. A. Martinez; M. Polizeli	2020	Fungal communities differentially respond to warming and drought in tropical grassland soil	Molecular Ecology	29	8	1550-1559		10.1111/mec.15423	South America	Brazil	1	grassland	sediment		0	0	0	0	0	0	0	1	0	0	nutrients	DNA metabarcoding	ITS2	1	12		impact of drought on soil fungi in tropical grassland	-21.166355	-47.854836		1	MG-RAST	N
eDNA92	A. P. Detheridge; D. Comont; T. M. Callaghan; J. Bussell; G. Brand; D. Gwynn-Jones; J. Scullion; G. W. Griffith	2018	Vegetation and edaphic factors influence rapid establishment of distinct fungal communities on former coal-spoil sites	Fungal Ecology	33		92-103		10.1016/j.funeco.2018.02.002	Europe	UK	0	grassland	sediment		0	0	0	0	0	0	0	1	0	0	habitat structure	DNA metabarcoding	28S	1	80		impact of vegetation and edaphic factors on fungal diversity	52.241	-3.376		1	ENA	N
eDNA93	J. D. DiBattista; A. M. Fowler; I. J. Riley; S. Reader; A. Hay; K. Parkinson; J. P. A. Hobbs	2022	The use of environmental DNA to monitor impacted coastal estuaries	Marine Pollution Bulletin	181		12	113860	10.1016/j.marpolbul.2022.113860	Oceania	Australia	1	marine	water		0	0	0	0	1	1	0	0	0	0	pollution	DNA metabarcoding	16S; 18S	2	72		track seasonal fish and invertebrate abundance in a heavily polluted lagoon; develop baseline for monitoring	-33.78307	151.28088		1	Dryad	N
eDNA94	J. D. DiBattista; J. D. Reimer; M. Stat; G. D. Masucci; P. Biondi; M. De Brauwer; S. P. Wilkinson; A. A. Chariton; M. Bunce	2020	Environmental DNA can act as a biodiversity barometer of anthropogenic pressures in coastal ecosystems	Scientific Reports	10	1	15	8365	10.1038/s41598-020-64858-9	Asia	Japan	0	marine	sediment + water		0	0	0	0	0	1	0	1	1	0	pollution	DNA metabarcoding	18S; ITS2	2	14		"variation in ""eukaryotic"" community composition along ""anthropogenic pressure"" gradient"	26.558744	128.020142		1	Dryad	N
eDNA95	A. Dopheide; A. Makiola; K. H. Orwin; R. J. Holdaway; J. R. Wood; I. A. Dickie	2020	Rarity is a more reliable indicator of land-use impacts on soil invertebrate communities than other diversity metrics	Elife	9		41	e52787	10.7554/eLife.52787	Oceania	New Zealand	0	other terrestrial	sediment		0	0	0	0	0	1	0	0	0	0	habitat structure	DNA metabarcoding	COI	1	75		comparing soil invertebrate communities among anthropogenic and natural land cover types	-38.223662	175.896586	samples taken from entire island of New Zealand. Random lat/long taken from central area of North Island.	1	Manaaki Whenua	Manaaki Whenua
eDNA96	M. Duleba; A. Foldi; A. Micsinai; G. Varbiro; A. Mohr; R. Sipos; G. Szabo; K. Buczko; Z. Trabert; K. T. Kiss; T. Biro; E. Vadkerti; E. Acs	2021	Applicability of diatom metabarcoding in the ecological status assessment of Hungarian lotic and soda pan habitats	Ecological Indicators	130		14	108105	10.1016/j.ecolind.2021.108105	Europe	Hungary	0	freshwater	water		0	0	0	0	0	0	0	0	1	0	pollution	DNA metabarcoding	rbcL	1	93		evaluating diatoms as indicator of general water quality (index)	46.278953	17.901428		0	N	N
eDNA97	V. Dully; H. Balliet; L. Fruhe; M. Daumer; A. Thielen; S. Gallie; I. Berrill; T. Stoeck	2021	"Robustness, sensitivity and reproducibility of eDNA metabarcoding as an environmental biomonitoring tool in coastal salmon aquaculture - An inter-laboratory study"	Ecological Indicators	121		15	107049	10.1016/j.ecolind.2020.107049	Europe	UK	0	marine	sediment		0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	SSU (rrna)	1	12		impact of salmon farms on benthic bacteria	60.360645	-1.234743		1	NCBI	N
eDNA98	J. D. Durand; M. Simier; N. T. Tran; C. Grudpan; B. Y. Chan; B. N. L. Nguyen; H. D. Hoang; J. Panfili	2022	Fish Diversity along the Mekong River and Delta Inferred by Environmental-DNA in a Period of Dam Building and Downstream Salinization	Diversity-Basel	14	8	21	634	10.3390/d14080634	Asia	Mekong River	1	freshwater	water		0	0	0	0	1	0	0	0	0	0	movement barrier + nutrients	DNA metabarcoding	12S	1	30		impact of dams (and also salinization) on fish in the mekong river	12.007367	105.47435		0	N	N
eDNA99	W. D. Eaton; S. Shokralla; K. M. McGee; M. Hajibabaei	2017	Using metagenomics to show the efficacy of forest restoration in the New Jersey Pine Barrens	Genome	60	10	825-836		10.1139/gen-2015-0199	North America	USA	0	forest	sediment		0	0	0	0	0	1	0	1	0	1	habitat structure	DNA metabarcoding	ITS2; 16S; COI	3	12		"impact of wetland forest restoration (replanting) on invertebrates, fungi, and bacteria"	39.775911	-74.549506		1	Dryad	N
eDNA100	D. P. Edwards; A. Magrach; P. Woodcock; Y. Q. Ji; N. T. L. Lim; F. A. Edwards; T. H. Larsen; W. W. Hsu; S. Benedick; C. V. Khen; A. Y. C. Chung; G. Reynolds; B. Fisher; W. F. Laurance; D. S. Wilcove; K. C. Hamer; D. W. Yu	2014	"Selective-logging and oil palm: multitaxon impacts, biodiversity indicators, and trade-offs for conservation planning"	Ecological Applications	24	8	2029-2049		10.1890/14-0010.1	Asia	Malaysia	1	forest	whole organism		0	0	0	0	0	1	0	0	0	0	habitat structure	DNA metabarcoding	COI	1	28		"impact of palm oil conversion and selective logging on invertebrates (DNA) and also vertebrates, but using non-DNA methods"	4.9665	117.805333		1	NCBI	Dryad
eDNA101	C. E. Emilson; D. G. Thompson; L. A. Venier; T. M. Porter; T. Swystun; D. Chartrand; S. Capell; M. Hajibabaei	2017	DNA metabarcoding and morphological macroinvertebrate metrics reveal the same changes in boreal watersheds across an environmental gradient	Scientific Reports	7		11	12777	10.1038/s41598-017-13157-x	North America	Canada	0	freshwater	whole organism		0	0	0	0	0	1	0	0	0	0	pollution	DNA metabarcoding	COI	1	23		measured and correlated water quality indices based on morphological and metabarcoding data	49.701928	-83.666592	"lat/long given in paper comes up in Kazhkstan, estimated location in NE Ontario instead."	1	NCBI	Supplement
eDNA102	L. Epelde; A. Lanzen; I. Martin; S. Virgel; I. Mijangos; G. Besga; C. Garbisu	2019	The microbiota of technosols resembles that of a nearby forest soil three years after their establishment	Chemosphere	220		600-610		10.1016/j.chemosphere.2018.12.164	Europe	Spain	0	grassland	sediment		0	0	0	0	0	1	0	1	1	1	habitat structure	DNA metabarcoding	16S; 18S	2	12	"9 ""plots"" + 3 nearby reference plots"	"compared bacteria, fungi, eukaryotic microbes, and invertebrates in restored quarry soil and natural soil over time"	42.775932	-2.453208		1	ENA	N
eDNA103	M. Erdozain; D. G. Thompson; T. M. Porter; K. A. Kidd; D. P. Kreutzweiser; P. K. Sibley; T. Swystun; D. Chartrand; M. Hajibabaei	2019	Metabarcoding of storage ethanol vs. conventional morphometric identification in relation to the use of stream macroinvertebrates as ecological indicators in forest management	Ecological Indicators	101		173-184		10.1016/j.ecolind.2019.01.014	North America	Canada	0	freshwater	whole organism		0	0	0	0	0	1	0	0	0	0	pollution	DNA metabarcoding	COI	1	36		"impact of water quality on invert. composition (compared metabarcoding to morphological approaches to water quality index (metabarcoded trap ethanol, so may want to reclasify substrate)"	47.456861	-67.815639		1	NCBI	GitHub
eDNA104	J. T. Fan; S. P. Wang; H. Li; Z. G. Yan; Y. Z. Zhang; X. Zheng; P. Y. Wang	2020	Modeling the ecological status response of rivers to multiple stressors using machine learning: A comparison of environmental DNA metabarcoding and morphological data	Water Research	183		12	116004	10.1016/j.watres.2020.116004	Asia	China	0	freshwater	water		0	0	0	0	0	0	0	0	1	0	pollution	DNA metabarcoding	18S	1	24		impact of water quality on phytoplankton (compared metabarcoding to morphological indices)	41.307813	122.82973		0	N	N
eDNA105	M. J. Feio; S. R. Q. Serra; A. Mortagua; A. Bouchez; F. Rimet; V. Vasselon; S. F. P. Almeida	2020	A taxonomy-free approach based on machine learning to assess the quality of rivers with diatoms	Science of the Total Environment	722		10	137900	10.1016/j.scitotenv.2020.137900	Europe	Portugal	0	freshwater	surface scrape		0	0	0	0	0	0	0	0	1	0	pollution	DNA metabarcoding	rbcL	1	81		"impact of water quality on diatoms (compared metabarcoding to morphological index). samples scraped from rocks, sediment surfaces."	40.381269	-8.071088		0	N	N
eDNA106	R. M. W. Ferguson; E. J. O'Gorman; D. J. McElroy; B. A. McKew; R. A. Coleman; M. C. Emmerson; A. J. Dumbrell	2021	The ecological impacts of multiple environmental stressors on coastal biofilm bacteria	Global Change Biology	27	13	3166-3178		10.1111/gcb.15626	Europe	Ireland	0	marine	sediment		0	0	0	0	0	0	0	0	0	1	nutrients + temperature	DNA metabarcoding	16S	1	20		"impact of temperature, nutrients and crabs on biofilm bacteria in mesocosms"	54.380968	-5.551527		1	NCBI	N
eDNA107	K. Fernandes; M. van der Heyde; M. Coghlan; G. Wardell-Johnson; M. Bunce; R. Harris; P. Nevill	2019	Invertebrate DNA metabarcoding reveals changes in communities across mine site restoration chronosequences	Restoration Ecology	27	5	1177-1186		10.1111/rec.12976	Oceania	Australia	1	forest	whole organism		0	0	0	0	0	1	0	0	0	0	habitat structure	DNA metabarcoding	COI	1	30		impact of mine restoration on pitfall trap invertebrates (2 COI primers) - chronosequence of mine restoration	-31.4	115.93		0	N	N
eDNA108	S. Fernandez; E. Arboleya; E. Dopico; E. Garcia-Vazquez	2022	Dams in South Europe: socio-environmental approach and eDNA-metabarcoding to study dam acceptance and ecosystem health	Wetlands Ecology and Management	30	2	341-355		10.1007/s11273-022-09864-6	Europe	Spain	0	freshwater	water		0	0	0	0	0	0	0	0	1	0	pollution	DNA metabarcoding	rbcL	1	15		impact of dams on diatom communities / water quality	36.717144	-4.576818	"two areas, one far north of spain, other in far south. Chose southern site since already had northern spain in another study."	1	NCBI	Mendeley
eDNA109	I. Ferrera; A. Rene; D. Funosas; J. Camp; R. Massana; J. M. Gasol; E. Garces	2020	Assessment of microbial plankton diversity as an ecological indicator in the NW Mediterranean coast	Marine Pollution Bulletin	160		12	111691	10.1016/j.marpolbul.2020.111691	Europe	Spain	0	marine	water		0	0	0	0	0	0	0	0	1	1	pollution	DNA metabarcoding	16S; 18S	2	93		monitoring anthropgenic impacts on water quality in the Mediteranean using bacterial and plankton metabarcoding	41.666667	2.8		1	ENA	N
eDNA110	M. A. Figueiredo; T. H. da Silva; O. H. B. Pinto; M. G. P. Leite; F. S. de Oliveira; M. Messias; L. H. Rosa; P. Camara; F. A. C. Lopes; A. R. Kozovits	2023	Metabarcoding of Soil Fungal Communities in Rupestrian Grassland Areas Preserved and Degraded by Mining: Implications for Restoration	Microbial Ecology			11		10.1007/s00248-023-02177-y	South America	Brazil	1	grassland	sediment		0	0	0	0	0	0	0	1	0	0	pollution + habitat structure	DNA metabarcoding	ITS2	1	6		compared fungal communities in grassland with and without a history of Bauxite mining (which both polluted and changed habitat)	-20.35	-43.5		0	N	N
eDNA111	D. Forster; S. Filker; R. Kochems; H. W. Breiner; T. Cordier; J. Pawlowski; T. Stoeck	2019	A Comparison of Different Ciliate Metabarcode Genes as Bioindicators for Environmental Impact Assessments of Salmon Aquaculture	Journal of Eukaryotic Microbiology	66	2	294-308		10.1111/jeu.12670	Europe	UK	0	marine	sediment		0	0	0	0	0	0	0	0	1	0	pollution	DNA/RNA metabar.	SSU; LSU (ciliate primers)	1	15		impact of salmon farm on benthic ciliates based on eDNA and eRNA	56.501217	-5.50103		1	NCBI	N
eDNA112	J. G. Foster; L. W. Ploughe; M. Akin-Fajiye; J. P. Singh; E. Bottos; J. Van Hamme; L. H. Fraser	2020	Exploring trophic effects of spotted knapweed (Centaurea stoebe L.) on arthropod diversity using DNA metabarcoding	Food Webs	24		8	e00157	10.1016/j.fooweb.2020.e00157	North America	Canada	0	grassland	whole organism		0	0	0	0	0	1	0	0	0	0	invasive species	DNA metabarcoding	COI	1	80		impact of invasive plant on arthropod diversity	50.768108	-120.464443		0	N	N
eDNA113	F. Frontalini; T. Cordier; E. Balassi; E. A. du Chatelet; K. Cermakova; L. Apotheloz-Perret-Gentil; M. V. A. Martins; C. Bucci; E. Scantamburlo; M. Treglia; V. Bonamin; J. Pawlowski	2020	Benthic foraminiferal metabarcoding and morphology-based assessment around three offshore gas platforms: Congruence and complementarity	Environment International	144		14	106049	10.1016/j.envint.2020.106049	Europe	Italy	0	marine	sediment		0	0	0	0	0	0	0	0	1	0	pollution + habitat structure	DNA metabarcoding	18S	1	288		impact of oil drilling pollution (also bottom habitat alteration) on foraminiferans	44.553714	12.471789		1	NCBI	N
eDNA114	F. Frontalini; M. Greco; L. Di Bella; F. Lejzerowicz; E. Reo; A. Caruso; C. Cosentino; A. Maccotta; G. Scopelliti; M. P. Nardelli; M. T. Losada; E. A. du Chatelet; R. Coccioni; J. Pawlowski	2018	Assessing the effect of mercury pollution on cultured benthic foraminifera community using morphological and eDNA metabarcoding approaches	Marine Pollution Bulletin	129	2	512-524		10.1016/j.marpolbul.2017.10.022	Europe	Italy	0	marine	sediment		0	0	0	0	0	0	0	0	1	0	pollution	DNA metabarcoding	18S	1	43		impact of Hg pollution on foraminifera assemblages	43.73304	13.810123		0	N	N
eDNA115	T. G. Froslev; R. Kjoller; H. H. Bruun; R. Ejrnaes; A. J. Hansen; T. Laesoe; J. Heilmann-Clausen	2019	Man against machine: Do fungal fruitbodies and eDNA give similar biodiversity assessments across broad environmental gradients?	Biological Conservation	233		201-212		10.1016/j.biocon.2019.02.038	Europe	Denmark	0	marine	sediment		0	0	0	0	0	1	0	0	0	0	habitat structure	DNA metabarcoding	ITS2	1	130		impact of habitat type on fungal diversity	55.128891	10.377845	"all over Denmark, picked central location"	1	ERDA	GitHub
eDNA116	L. Fruhe; T. Cordier; V. Dully; H. W. Breiner; G. Lentendu; J. Pawlowski; C. Martins; T. A. Wilding; T. Stoeck	2021	Supervised machine learning is superior to indicator value inference in monitoring the environmental impacts of salmon aquaculture using eDNA metabarcodes	Molecular Ecology	30	13	2988-3006		10.1111/mec.15434	Europe	Norway	0	marine	sediment		0	0	0	0	0	0	0	0	1	1	pollution	DNA metabarcoding	SSU (bacteria & ciliates)	2	152		impact of salmon farms on benthic ciliate and bacterial diversity	67.532817	15.3877	"sampled all over Norway, picked a centrally located sample."	1	NCBI	GitHub
eDNA117	L. Fruhe; V. Dully; D. Forster; N. B. Keeley; O. Laroche; X. Pochon; S. Robinson; T. A. Wilding; T. Stoeck	2021	Global Trends of Benthic Bacterial Diversity and Community Composition Along Organic Enrichment Gradients of Salmon Farms	Frontiers in Microbiology	12		17	637811	10.3389/fmicb.2021.637811	Multiple	Multiple	0	marine	sediment		0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	SSU (rrna)	1	138		"impact of salmon farms on benthic bacteria (integrates data from UK, Norway, NZ, and Canada)"	NA	NA	"Samples from Norway, Scotland, New Zealand & Canada"	1	NCBI	N
eDNA118	Y. Fukasawa; Y. Ando; Y. Oishi; S. N. Suzuki; K. Matsukura; K. Okano; Z. W. Song	2019	"Does typhoon disturbance in subalpine forest have long-lasting impacts on saproxylic fungi, bryophytes, and seedling regeneration on coarse woody debris?"	Forest Ecology and Management	432		309-318		10.1016/j.foreco.2018.09.036	Asia	Japan	0	forest	vegetation		0	0	0	0	0	0	0	1	0	0	habitat structure	DNA metabarcoding	ITS1	1	20		impact of typhoon disturbance on fungal communities	36	138.383333		1	DNA Data Bank of Japan	N
eDNA119	C. G. Gabrielsen; M. A. Murphy; J. S. Evans	2022	Testing the effect of wetland spatiotemporal variability on amphibian occurrence across scales	Landscape Ecology	37	2	477-492		10.1007/s10980-021-01383-8	North America	USA	0	freshwater	water		0	0	0	1	0	0	0	0	0	0	habitat structure	qPCR (DNA)	NA	NA	315		"impact of wetland permanence and other characteristics on presence of 3 species of amphibian (2 frogs, 1 salamander)"	46.959834	-103.398222	"Samples from MT, ND, WY, & SD. Chose central sample area in ND"	0	N	N
eDNA120	N. J. C. Gellie; J. G. Mills; M. F. Breed; A. J. Lowe	2017	Revegetation rewilds the soil bacterial microbiome of an old field	Molecular Ecology	26	11	2895-2904		10.1111/mec.14081	Oceania	Australia	0	forest	sediment		0	0	0	0	0	0	0	0	0	1	habitat structure	DNA metabarcoding	16S	1	48		"impact of reforestation (""rewilding"") on soil bacterial communities"	-35.07	138.42		1	NCBI	AEKOS
